#Hhst|H id|Ea|KTR komplett|Ktr bez|Ktr art|Kst|Kstst bez|Sk|Sk bez|Sk pos|Sk pos bez|Ep|Sk finre|Sk finre bez|Fp|Proj|Proj bez|J2011_ERG|J2011_FINERG|J2012_ERG|J2012_FINERG|J2013_ERG|J2013_FINERG|J2014_PLAN|J2015_PLAN|J2016_PLAN|J2017_PLAN|J2018_PLAN|J2019_PLAN
00000_40120|248763|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|50133000|Sitzungsgelder Sachkundige Bürger / Beiräte|E_02a|Personalaufwendungen|1|70130000|Auszahlungen für ehrenamtliche Gemeindeorgane, Auschüsse und Organe der Ortschaften|1|||-18 849.00|-18 727.00|-17 310.00|-17 190.00|-17 925.00|-17 910.00|-36 600|-36 600|-36 600|-36 600|-36 600|-36 600
00000_40130|248764|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|50120000|Aufwendungen für ehrenamtliche Beigeordnete|E_02a|Personalaufwendungen|1|70120000|Auszahlungen für ehrenamtliche Beigeordnete|1|||-1 836.00|-1 683.00|-1 836.00|-1 836.00|-153.00|-306.00|-3 680|-3 680|-3 680|-3 680|-3 680|-3 680
00000_40200|248765|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|50134000|Aufwendungen gemäß § 29 Hauptsatzung|E_02a|Personalaufwendungen|1|70130000|Auszahlungen für ehrenamtliche Gemeindeorgane, Auschüsse und Organe der Ortschaften|1|||-905.00|-654.00|-2 240.00|-2 092.00|-2 491.38|-2 722.38|-1 000|-1 000|-1 000|-1 000|-1 000|-1 000
00000_40500|248766|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|24390000|Ehrensoldrückstellung|P_3.1|Rückstellungen für Pensionen und ähnliche Verpflichtungen|0|70791000|Auszahlungen für künftige Ehrensoldzahlungen|1||||-1 914.00||-2 088.00||-2 088.00|-2 100|-6 600|-6 600|-6 600|-6 600|-6 600
00000_41000|248767|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|50211000|Dienstbezüge Beamte|E_02a|Personalaufwendungen|1|70211000|Auszahlungen der Dienstbezüge für Beamte|1|||-333 712.59|-333 712.59|-357 732.60|-357 732.60|-364 376.39|-364 376.39|-366 990|-376 020|-379 610|-383 190|-386 770|-390 340
00000_41100|248769|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|50311000|Versorgungsrücklage für Beamte|E_02a|Personalaufwendungen|1|70311000|Auszahlungen für Versorgungsrücklage - Beamte|1|||-2 424.85|-2 424.85|-2 855.18|-2 855.18|-2 960.91|-2 960.91|-3 160|-3 960|-4 700|-4 750|-4 790|-4 830
00000_41400|248770|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|50221000|Vergütungen der Arbeitnehmer|E_02a|Personalaufwendungen|1|70221000|Auszahlungen für Vergütungen der Arbeitnehmer|1|||0.00|17 812.68|0.00|0.00|0.00|-132 449.29|0|0|0|0|0|0
00000_41610|248772|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|50291000|Vergütungen an Sonstige|E_02a|Personalaufwendungen|1|70291000|Auszahlungen für sonstige Aufwendungen für Beschäftigte|1|||||-2 174.50|-2 174.50||||0|0|0|0|0
00000_43000|248773|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|50312000|Versorgungsumlage für Beamte|E_02a|Personalaufwendungen|1|70312000|Auszahlungen für Versorgungsumlage - Beamte|1|||-96 816.71|-96 816.71|-107 895.19|-107 895.19|-110 087.85|-110 087.85|-117 440|-121 530|-122 690|-123 840|-125 000|-126 150
00000_44850|248774|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|50490000|Beiträge zur gesetzlichen Sozialversicherung - Sonstige|E_02a|Personalaufwendungen|1|70490000|Beiträge zur gesetzlichen Sozialversicherung - Sonstige|1|||||||-809.80|-809.80||0|0|0|0|0
00000_45000|248775|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|50511000|Beihilfe für aktive Beamte|E_02a|Personalaufwendungen|1|70510000|Auszahlungen für Beihilfen für aktive Beamte|1|||-4 819.84|-4 819.84|-4 529.15|-4 529.15|-5 052.88|-5 052.88|-5 200|-5 070|-5 020|-5 060|-5 110|-5 160
00000_45100|248776|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|50501000|Ärztliche Untersuchungen für aktive Beamte und Arbeitnehmer|E_02a|Personalaufwendungen|1|70500000|Auszahlungen für Unterstützungsleistungen und dergleichen|1|||-50.16|-50.16|-96.32|-96.32|-94.72|-94.72|-420|-420|-420|-430|-430|-440
00000_46000|248777|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|50601000|Personalnebenaufwendungen|E_02a|Personalaufwendungen|1|70600000|Personalnebenauszahlungen|1|||||||-16.50|-16.50||0|0|0|0|0
00000_52300|248778|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|52370000|Unterhaltung der Betriebs- und Geschäftsausstattung|E_02c|Aufwendungen für Sach- und Dienstleistungen|1|72370000|Unterhaltung der Betriebs- und Geschäftsausstattung|1|||-150.70|-150.70|-321.72|-321.72|-751.58|-751.58||0|0|0|0|0
00000_52310|248779|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|8240000|Geringwertige Vermögensgegenstände (VG innerhalb der Wertgrenze 60,01 - 410,00 EUR ohne USt)|A_1.2.8|Betriebs- und Geschäftsausstattung|0|78572000|Auszahlungen für bewegliche Sachen des AV innerhalb der Wertgrenze 60,01 bis 410,00 EUR (ohne USt)|1|111300M10000|BOB - GVG||-1 223.01||-53.50||-836.80|-2 500|-2 500|-2 500|-2 500|-2 500|-2 500
00000_53000|248780|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|56211000|Mieten und Pachten an Dritte|E_02h|sonstige laufende Aufwendungen|1|76211000|Mieten und Pachten an Dritte|1|||-6 276.90|-5 875.87|-7 371.14|-7 435.17|-6 184.77|-5 564.24|-10 000|-7 000|-7 000|-7 000|-7 000|-7 000
00000_53001|248781|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|56211100|Nutzungsentgelte an EB KMJ|E_02h|sonstige laufende Aufwendungen|1|76211100|Nutzungsentgelte an EB KMJ|1|||-135 000.00|-135 000.00|||||0|0|0|0|0|0
00000_53400|248782|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|56213000|Mieten für Gebäude an Eigenbetrieb KIJ|E_02h|sonstige laufende Aufwendungen|1|76213000|Mieten für Gebäude an Eigenbetrieb KIJ|1|||-31 366.00|-31 366.00|-45 880.50|-36 668.50|-39 822.00|-49 034.00|-32 670|-36 600|-38 100|-38 100|-38 100|-38 100
00000_53500|248783|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|56241000|Miete für PC-Arbeitsplatz an Eigenbetrieb KIJ|E_02h|sonstige laufende Aufwendungen|1|76241000|Miete für PC-Arbeitsplatz an Eigenbetrieb KIJ|1|||||-3 888.56|-3 888.56|||-4 000|0|0|0|0|0
00000_53510|248784|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|56242000|Miete für Fachanwendungen an Eigenbetrieb KIJ|E_02h|sonstige laufende Aufwendungen|1|76242000|Miete für Fachanwendungen an Eigenbetrieb KIJ|1|||-22 160.01|-22 160.01|-16 664.01|-16 664.01|-17 252.01|-17 252.01|-19 500|-14 300|-15 400|-16 200|-17 000|-17 900
00000_53600|248785|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|56214000|Mieten für Büroausstattung an Eigenbetrieb KIJ|E_02h|sonstige laufende Aufwendungen|1|76214000|Mieten für Büroausstattung an Eigenbetrieb KIJ|1|||||||||-2 280|0|0|0|0|0
00000_53700|248786|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|56215000|Miete für Bürotechnik an Eigenbetrieb KIJ|E_02h|sonstige laufende Aufwendungen|1|76215000|Miete für Bürotechnik an Eigenbetrieb KIJ|1|||||-1 031.73|-1 031.73|-997.50|-997.50|-1 060|-850|-870|-890|-910|-930
00000_54010|248787|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|52321000|Betriebskosten an Eigenbetrieb KIJ|E_02c|Aufwendungen für Sach- und Dienstleistungen|1|72321000|Bewirtschaftung der Grundstücke an EB KIJ|1|||-16 350.00|-16 350.00|-26 068.86|-23 888.86|-20 024.00|-22 204.00|-18 040|-16 200|-16 700|-17 200|-17 200|-17 200
00000_54015|248788|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|56951000|Periodenfremde Aufwendungen - Betriebskostennachzahlung an Eigenbetrieb KIJ|E_02h|sonstige laufende Aufwendungen|1|72321000|Bewirtschaftung der Grundstücke an EB KIJ|1|||-19 989.02|-20 496.08|-1 454.80|-986.20|-642.74|-1 111.34|0|0|0|0|0|0
00000_56200|259735|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|56120000|Aufwendungen für Aus- und Fortbildung|E_02h|sonstige laufende Aufwendungen|1|76120000|Auszahlungen für Aus- und Fortbildung|1||||||||||-1 000|-1 000|-1 000|-1 000|-1 000
00000_57100|248789|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|52441000|Ausstattungs- und Verbrauchsmaterial|E_02c|Aufwendungen für Sach- und Dienstleistungen|1|72441000|Ausstattungs- und Verbrauchsmaterial|1|||-2 962.83|-2 962.83|-3 476.52|-3 015.32|-3 812.53|-4 273.73|-5 000|-5 000|-5 000|-5 000|-5 000|-5 000
00000_58800|248790|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|52481000|Sonstige bezogene Leistungen - allgemein|E_02c|Aufwendungen für Sach- und Dienstleistungen|1|72481000|Sonstige bezogene Leistungen - allgemein|1|||-11 453.76|-11 453.76|-19 163.76|-19 163.76|-21 579.27|-21 579.27|-18 000|-20 000|-20 000|-20 000|-20 000|-20 000
00000_63300|248791|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|52491000|Aufwendungen für Veranstaltungen - ohne bezogene Leistungen|E_02c|Aufwendungen für Sach- und Dienstleistungen|1|72491000|Auszahlungen für Veranstaltungen - ohne bezogene Leistungen|1|||0.00|-3 400.14|-252.95|-252.95|-313.80|-313.80|-200|-200|-200|-200|-200|-200
00000_63350|248792|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|52492000|Aufwendungen für Ortsteile § 45 Abs. 6 ThürKO|E_02c|Aufwendungen für Sach- und Dienstleistungen|1|72492000|Aufwendungen für Ortsteile § 45 Abs. 6 ThürKO|1|||-66 570.23|-60 521.95|-81 496.38|-81 707.90|-78 066.63|-74 311.93|-76 550|-87 170|-87 170|-87 170|-87 170|-87 170
00000_63700|248793|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|52481000|Sonstige bezogene Leistungen - allgemein|E_02c|Aufwendungen für Sach- und Dienstleistungen|1|72481000|Sonstige bezogene Leistungen - allgemein|1|||||||||-1 500|-1 500|-1 500|-1 500|-1 500|-1 500
00000_63730|248794|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|54159000|Zuschüsse an den sonstigen privaten Bereich|E_02f|Zuwendungen, allgemeine Umlagen und sonstige Transferaufwendungen|1|74159000|Zuschüsse an den sonstigen privaten Bereich|1|||||-742.50|-742.50|-195.00|-195.00|-6 000|-6 000|-6 000|-6 000|-6 000|-6 000
00000_65000|248795|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|56312000|Bürobedarf|E_02h|sonstige laufende Aufwendungen|1|76312000|Bürobedarf|1|||-2 300.59|-2 214.84|-1 526.19|-1 611.94|-2 495.04|-2 495.04|-2 500|-2 500|-2 500|-2 500|-2 500|-2 500
00000_65100|248796|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|56321000|Fachliteratur, Zeitschriften|E_02h|sonstige laufende Aufwendungen|1|76321000|Fachliteratur, Zeitschriften|1|||||||||-500|-500|-500|-500|-500|-500
00000_65201|248798|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|56330000|Porto und Versandkosten|E_02h|sonstige laufende Aufwendungen|1|76330000|Porto und Versandkosten|1|||-4 862.23|-4 862.23|-4 554.78|-4 554.78|-4 246.42|-4 246.42|-6 000|-6 000|-6 000|-6 000|-6 000|-6 000
00000_65250|248799|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|56343200|Miete für Fernsprech- und Telefaxanlage an Eigenbetrieb KIJ|E_02h|sonstige laufende Aufwendungen|1|76343200|Miete für Fernsprech- und Telefaxanlage an Eigenbetrieb KIJ|1|||||-759.90|-759.90||||0|0|0|0|0
00000_65300|248800|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|56351000|Öffentliche Bekanntmachungen|E_02h|sonstige laufende Aufwendungen|1|76351000|Öffentliche Bekanntmachungen|1|||-1 653.26|-1 533.19|-2 330.01|-2 450.08|-1 237.84|-1 237.84|-3 500|-3 500|-3 500|-3 500|-3 500|-3 500
00000_65400|248801|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|56131000|Aufwendungen für Dienstreisen und Dienstgänge|E_02h|sonstige laufende Aufwendungen|1|76131000|Auszahlungen für Dienstreisen und Dienstgänge|1|||-734.65|-605.25|-966.95|-1 005.50|-687.60|-648.65|-1 500|-1 500|-1 500|-1 500|-1 500|-1 500
00000_65410|248802|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|56131000|Aufwendungen für Dienstreisen und Dienstgänge|E_02h|sonstige laufende Aufwendungen|1|76131000|Auszahlungen für Dienstreisen und Dienstgänge|1|||-949.10|-999.80|-1 368.15|-683.10|-1 970.55|-2 867.70|-800|-800|-800|-800|-800|-800
00000_65450|259737|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|56132000|Dienstreiseaufwendungen für Aus- und Fortbildung|E_02h|sonstige laufende Aufwendungen|1|76132000|Dienstreiseauszahlungen für Aus- und Fortbildung|1||||||||||-500|-500|-500|-500|-500
00000_65500|248803|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|56251000|Gutachten, Gerichts- und ähnliche Aufwendungen|E_02h|sonstige laufende Aufwendungen|1|76251000|Gutachten, Gerichts- und ähnliche Aufwendungen|1|||-4 839.97|-4 839.97|-1 447.04|-1 447.04|||0|0|0|0|0|0
00000_66000|248804|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|56920000|Verfügungsmittel|E_02h|sonstige laufende Aufwendungen|1|76920000|Verfügungsmittel|1|||-19 875.68|-20 786.68|-19 811.71|-19 062.71|-10 422.32|-10 626.64|-20 000|-15 000|-15 000|-15 000|-15 000|-15 000
00000_71801|248806|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|56910000|Zuwendungen an Fraktionen|E_02h|sonstige laufende Aufwendungen|1|76910000|Zuwendungen an Fraktionen|1|||-44 016.00|-44 016.00|-44 016.00|-44 016.00|-42 140.60|-42 140.60|-41 900|-39 100|-39 100|-39 100|-39 100|-39 100
00000_71802|248807|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|56910000|Zuwendungen an Fraktionen|E_02h|sonstige laufende Aufwendungen|1|76910000|Zuwendungen an Fraktionen|1|||-258 240.00|-258 448.50|-260 760.00|-260 760.00|-273 432.00|-273 432.00|-258 000|-238 300|-242 900|-242 900|-242 900|-242 900
00000_93520|248810|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|8220000|Geschäftsausstattung (VG ab der Wertgrenze 410,01 EUR ohne USt)|A_1.2.8|Betriebs- und Geschäftsausstattung|0|78571000|Auszahlungen für bewegliche Sachen des AV ab der Wertgrenze 410,01 EUR (ohne USt)|1|111300M10002|BOB - BGA||||||-499.00||||||
00000_98500|248812|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|1910000|Anlagen in Bau auf immaterielle VG - Geleistete Zuwendungen|A_1.1.6|Geleistete Anzahlungen auf immaterielle Vermögensgegenstände|0|78410000|Auszahlungen für Konzessionen, Lizenzen und andere Schutzrechte|1|111300M00001|BOB -Touristische Infrastruktur||||||-498.62||||||
00100_15070|248813|E|11110000|Verwaltungsführung (P)|7|11200|Bereich des Oberbürgermeisters|44191000|Ersätze für die private Nutzung von Fernsprecheinrichtungen|E_01e|privatrechtliche Leistungsentgelte|1|64191000|Einzahlungen für die private Nutzung von Fernsprecheinrichtungen|1|||||674.20|674.20|||0|0|0|0|0|0
00100_15080|248814|E|11110000|Verwaltungsführung (P)|7|11200|Bereich des Oberbürgermeisters|46952000|Periodenfremde Erträge - Allgemein|E_01i|sonstige laufende Erträge|1|66801000|Einzahlungen aus periodenfremden Erträgen|1|||||57.00|57.00|||0|0|0|0|0|0
00100_15085|248815|E|11110000|Verwaltungsführung (P)|7|11200|Bereich des Oberbürgermeisters|46951000|Rückzahlung Betriebskosten vom Eigenbetrieb KIJ (periodenfremd)|E_01i|sonstige laufende Erträge|1|64193000|Sonstige privatrechtliche Leistungsentgelte steuerfrei|1|||1 480.79|1 480.79|2 362.25|2 362.25|4 692.48|4 692.48|0|0|0|0|0|0
00100_15090|248816|E|11110000|Verwaltungsführung (P)|7|11200|Bereich des Oberbürgermeisters|46262000|Versicherungserstattungen - Sachen|E_01i|sonstige laufende Erträge|1|66162000|Versicherungserstattungen - Sachen|1|||376.04|376.04|5 530.06|1 247.12|2 494.51|6 777.45|0|0|0|0|0|0
00100_16502|248818|E|11110000|Verwaltungsführung (P)|7|11200|Bereich des Oberbürgermeisters|44231200|Kostenerstattungen vom Eigenbetrieb KMJ|E_01f|Kostenerstattungen und Kostenumlagen|1|64231000|KE von Eigenbetrieben|1|||||120.00|120.00|||0|0|0|0|0|0
00100_16800|248819|E|11110000|Verwaltungsführung (P)|7|11200|Bereich des Oberbürgermeisters|44259000|Kostenerstattungen vom sonstigen privaten Bereich|E_01f|Kostenerstattungen und Kostenumlagen|1|64259000|KE vom sonstigen privaten Bereich|1|||0.00||33.00|33.00|159.20|159.20|0|0|0|0|0|0
00100_41400|248825|A|11110000|Verwaltungsführung (P)|7|11200|Bereich des Oberbürgermeisters|50221000|Vergütungen der Arbeitnehmer|E_02a|Personalaufwendungen|1|70221000|Auszahlungen für Vergütungen der Arbeitnehmer|1|||-329 468.40|-329 468.40|-345 443.25|-345 443.25|-378 127.01|-378 127.01|-400 650|-408 520|-412 420|-416 310|-420 190|-424 060
00100_41411|248826|A|11110000|Verwaltungsführung (P)|7|11200|Bereich des Oberbürgermeisters|50222000|Leistungsorientierte Bezahlung (LOB) nach § 18 TVöD|E_02a|Personalaufwendungen|1|70222000|Auszahlungen für Leistungszulagen (LOB)|1|||-4 154.56|-4 154.56|-5 084.83|-5 084.83|-5 646.60|-5 646.60|0|-8 850|-10 200|-10 180|-10 280|-10 370
00100_41412|248827|A|11110000|Verwaltungsführung (P)|7|11200|Bereich des Oberbürgermeisters|50626000|Erfolgsprämie nach § 18 TVöD|E_02a|Personalaufwendungen|1|70626000|Auszahlungen für Erfolgsprämie|1|||-9 800.00|-9 800.00|-5 905.00|-5 905.00|-4 240.00|-4 240.00||0|0|0|0|0
00100_43400|248829|A|11110000|Verwaltungsführung (P)|7|11200|Bereich des Oberbürgermeisters|50320000|Beiträge zu Versorgungskassen - Arbeitnehmer|E_02a|Personalaufwendungen|1|70320000|Beiträge zu Versorgungskassen - Arbeitnehmer|1|||-11 365.87|-11 365.87|-11 910.53|-11 910.53|-12 710.84|-12 710.84|-13 760|-13 830|-13 960|-14 100|-14 230|-14 360
00100_44400|248830|A|11110000|Verwaltungsführung (P)|7|11200|Bereich des Oberbürgermeisters|50421000|Beiträge zur gesetzlichen Sozialversicherung - Arbeitnehmer|E_02a|Personalaufwendungen|1|70421000|Beiträge zur gesetzlichen Sozialversicherung - Arbeitnehmer|1|||-66 606.98|-66 606.98|-69 032.02|-69 032.02|-73 995.56|-73 995.56|-77 870|-77 830|-78 580|-79 320|-80 060|-80 790
00100_45100|248832|A|11110000|Verwaltungsführung (P)|7|11200|Bereich des Oberbürgermeisters|50501000|Ärztliche Untersuchungen für aktive Beamte und Arbeitnehmer|E_02a|Personalaufwendungen|1|70500000|Auszahlungen für Unterstützungsleistungen und dergleichen|1|||-112.85|-112.85|-270.90|-270.90|-234.01|-234.01|-420|-420|-410|-420|-420|-430
00100_50100|248833|A|11110000|Verwaltungsführung (P)|7|11200|Bereich des Oberbürgermeisters|52313000|Unterhaltung der Gebäude einschließlich der Bestandteile, die dem Gebäude zuzurechnen sind|E_02c|Aufwendungen für Sach- und Dienstleistungen|1|72313000|Unterhaltung der Gebäude einschließlich der Bestandteile, die dem Gebäude zuzurechnen sind|1|||||||-1 179.29|||0|0|0|0|0
00100_52300|248834|A|11110000|Verwaltungsführung (P)|7|11200|Bereich des Oberbürgermeisters|52370000|Unterhaltung der Betriebs- und Geschäftsausstattung|E_02c|Aufwendungen für Sach- und Dienstleistungen|1|72370000|Unterhaltung der Betriebs- und Geschäftsausstattung|1|||-118.93|-118.93|0.00||0.00|0.00|-200|-200|-200|-200|-200|-200
00100_52310|248835|A|11110000|Verwaltungsführung (P)|7|11200|Bereich des Oberbürgermeisters|8240000|Geringwertige Vermögensgegenstände (VG innerhalb der Wertgrenze 60,01 - 410,00 EUR ohne USt)|A_1.2.8|Betriebs- und Geschäftsausstattung|0|78572000|Auszahlungen für bewegliche Sachen des AV innerhalb der Wertgrenze 60,01 bis 410,00 EUR (ohne USt)|1|111100M10000|BOB - GVG||-587.15||-76.87||-400.36|-800|-800|-800|-800|-800|-800
00100_53200|248836|A|11110000|Verwaltungsführung (P)|7|11200|Bereich des Oberbürgermeisters|56212000|Mieten für bewegliches Inventar an Dritte|E_02h|sonstige laufende Aufwendungen|1|76212000|Mieten für bewegliches Inventar an Dritte|1|||-9 727.63|-9 727.63|-9 439.37|-8 940.87|-8 921.46|-9 419.96|-10 000|-10 000|-10 000|-10 000|-10 000|-10 000
00100_53400|248837|A|11110000|Verwaltungsführung (P)|7|11200|Bereich des Oberbürgermeisters|56213000|Mieten für Gebäude an Eigenbetrieb KIJ|E_02h|sonstige laufende Aufwendungen|1|76213000|Mieten für Gebäude an Eigenbetrieb KIJ|1|||-33 901.00|-33 901.00|-39 461.36|-33 028.36|-49 967.38|-56 400.38|-49 970|-52 800|-55 000|-55 000|-55 000|-55 000
00100_53500|248838|A|11110000|Verwaltungsführung (P)|7|11200|Bereich des Oberbürgermeisters|56241000|Miete für PC-Arbeitsplatz an Eigenbetrieb KIJ|E_02h|sonstige laufende Aufwendungen|1|76241000|Miete für PC-Arbeitsplatz an Eigenbetrieb KIJ|1|||-13 742.08|-13 742.08|-14 582.10|-14 582.10|-17 258.14|-17 258.14|-14 600|-19 180|-19 470|-19 770|-20 070|-20 380
00100_53600|248839|A|11110000|Verwaltungsführung (P)|7|11200|Bereich des Oberbürgermeisters|56214000|Mieten für Büroausstattung an Eigenbetrieb KIJ|E_02h|sonstige laufende Aufwendungen|1|76214000|Mieten für Büroausstattung an Eigenbetrieb KIJ|1|||-11 952.96|-11 952.96|-7 195.06|-7 195.06|-8 162.58|-8 162.58|-7 200|-7 700|-7 820|-7 940|-8 060|-8 190
00100_53700|248840|A|11110000|Verwaltungsführung (P)|7|11200|Bereich des Oberbürgermeisters|56215000|Miete für Bürotechnik an Eigenbetrieb KIJ|E_02h|sonstige laufende Aufwendungen|1|76215000|Miete für Bürotechnik an Eigenbetrieb KIJ|1|||-564.21|-564.21|-4 126.92|-4 126.92|-3 990.06|-3 990.06|-4 200|-3 380|-3 440|-3 500|-3 560|-3 620
